Intake Date,Intake Time,Animal ID,Name,Species,Primary Breed,Secondary Breed,Age (Months),Size Group,Sex,Altered in Care,Altered before arrival,Intake Type,Intake Sub-Type,Intake From (Zip Code),Address Found (Zip Code),Microchip Number,Outcome Date,Outcome Time,Outcome Type,Outcome Sub-type,Zip Code
08/20/2018,05:17 pm,JHS-A-51410,Ogden,Cat,Domestic Shorthair,Mix,1,,Male,No,Yes,Stray,Drop Off,32277,32277,981020027426935,10/06/2018,11:13 am,Adoption,Off Site Adoptions,32277
08/20/2018,05:14 pm,JHS-A-51409,Shel,Cat,Domestic Shorthair,Mix,1,,Male,No,Yes,Stray,Drop Off,32277,32277,981020025918821,10/06/2018,01:53 pm,Adoption,Off Site Adoptions,32277
08/20/2018,05:09 pm,JHS-A-51408,LiBo,Cat,Domestic Shorthair,Mix,1,,Male,No,Yes,Stray,Drop Off,32277,32277,981020025929700,09/28/2018,11:27 am,Adoption,PetSmart Town Center #297,32277
08/20/2018,05:07 pm,JHS-A-51407,Rumi,Cat,Domestic Shorthair,Mix,1,,Female,No,Yes,Stray,Drop Off,32277,32277,981020025923774,09/15/2018,10:13 am,Adoption,PetSmart Southside #300,32277
08/20/2018,05:02 pm,JHS-A-51406,Rudyard,Cat,Domestic Shorthair,Mix,1,,Male,No,Yes,Stray,Drop Off,32277,32277,981020025911430,09/29/2018,05:08 pm,Adoption,PetSmart Town Center #297,32277
08/20/2018,04:57 pm,JHS-A-51405,Langston,Cat,Domestic Shorthair,Mix,1,,Male,No,Yes,Stray,Drop Off,32277,32277,981020025937533,10/05/2018,04:48 pm,Adoption,On Site Adoption,32277
08/20/2018,04:50 pm,JHS-A-51404,LaRue,Cat,Domestic Shorthair,Mix,2,,Female,No,Yes,Owner/Guardian Surrender,By Appointment,32218,,981020025884997,09/01/2018,02:49 pm,Adoption,PetSmart Southside #300,32218
08/20/2018,04:50 pm,JHS-A-51231,Sugar,Cat,Domestic Shorthair,Mix,24,,Female,No,Yes,Return,Return,32084,,981020025928572,10/08/2018,04:06 pm,Adoption,On Site Adoption,32084
08/20/2018,04:47 pm,JHS-A-51403,Ezra,Cat,Domestic Shorthair,Mix,1,,Male,No,Yes,Stray,Drop Off,32277,32277,981020027435958,09/21/2018,02:17 pm,Adoption,On Site Adoption,32277
08/20/2018,04:17 pm,JHS-A-51402,Gidget,Cat,Domestic Shorthair,Mix,2,,Female,No,Yes,Owner/Guardian Surrender,Walk-In Surrender,32218,,981020027453530,08/29/2018,06:48 pm,Adoption,PetSmart Southside #300,32218
08/20/2018,04:11 pm,JHS-A-51401,KoKo,Dog,Mixed Breed (Small),Mix,107,,Male,No,Yes,Owner/Guardian Surrender,By Appointment,32218,,981020025874850,08/31/2018,03:23 pm,Adoption,On Site Adoption,32218
08/20/2018,03:15 pm,JHS-A-51400,Chance,Dog,Mixed Breed (Large),Mix,18,,Male,No,Yes,Owner/Guardian Surrender,Walk-In Surrender,31556,,981020025902161,09/01/2018,12:16 pm,Adoption,On Site Adoption,31556
08/20/2018,02:57 pm,JHS-A-50250,Tornado,Dog,Mixed Breed (Large),Mix,25,,Male,No,Yes,Transfer In,Transfer,-,,981020021147096,08/26/2018,11:53 am,Adoption,On Site Adoption,
08/20/2018,02:44 pm,JHS-A-34612,Wrangler,Dog,Mixed Breed (Large),Mix,46,Large (60-99),Male,No,Yes,Transfer In,Transfer,-,,981020013132989,09/02/2018,12:40 pm,Adoption,On Site Adoption,
08/20/2018,02:19 pm,JHS-A-51399,Aria,Cat,Domestic Shorthair,Mix,,,Female,To be determined,No,Stray,Drop Off,33207,33207,,08/20/2018,04:38 pm,Died,Medical Issues,33207
