Intake Date,Intake Time,Animal ID,Name,Species,Primary Breed,Secondary Breed,Age (Months),Size Group,Sex,Altered in Care,Altered before arrival,Intake Type,Intake Sub-Type,Intake From (Zip Code),Address Found (Zip Code),Microchip Number,Outcome Date,Outcome Time,Outcome Type,Outcome Sub-type,Zip Code
07/14/2021,05:24 pm,JHS-A-78593,Dolphin,Cat,Domestic Shorthair,,,,Male,Yes,No,Stray,No ID,32216,32216,981020041267471,09/03/2021,10:01 am,Adoption,On Site Adoption,32216
07/14/2021,05:23 pm,JHS-A-78592,Octopus,Cat,Domestic Shorthair,,,,Male,Yes,No,Stray,No ID,32216,32216,981020041248164,09/03/2021,12:13 pm,Adoption,On Site Adoption,32216
07/14/2021,05:22 pm,JHS-A-78591,Bethany Hamilton,Cat,Domestic Shorthair,,14,,Female,Yes,No,Stray,No ID,32216,32216,,09/01/2021,12:53 pm,feral/wildlife,Returned to Field,32216
07/14/2021,04:15 pm,JHS-A-77834,Topsy the Second,Cat,Domestic Shorthair,,121,,Female,No,Yes,Return,Pet Health Issues,32256,,981020039907209,08/19/2021,04:00 pm,Adoption,On Site Adoption,32256
07/14/2021,03:35 pm,JHS-A-78590,Deku,Dog,Mixed Breed (Medium),,24,Large (60-99),Male,Yes,No,Stray,No ID,32211,32226,981020041508897,07/20/2021,03:50 pm,Adoption,On Site Adoption,32226
07/14/2021,03:35 pm,JHS-A-78589,Goku,Dog,Mixed Breed (Medium),,24,Large (60-99),Male,Yes,No,Stray,No ID,32211,32226,981020041140048,07/21/2021,09:41 am,Adoption,On Site Adoption,32226
07/14/2021,03:35 pm,JHS-A-78588,Pineapple,Dog,Mixed Breed (Medium),,35,Large (60-99),Female,Yes,No,Stray,No ID,32211,32226,981020041486760,07/20/2021,04:08 pm,Adoption,On Site Adoption,32226
07/14/2021,03:35 pm,JHS-A-78587,Jolt the Bolt,Dog,Mixed Breed (Medium),,24,Large (60-99),Female,Yes,No,Stray,No ID,32211,32226,981020041282489,07/20/2021,03:39 pm,Adoption,On Site Adoption,32226
07/14/2021,03:33 pm,JHS-A-78586,Lucy,Cat,Domestic Shorthair,,3,,Female,No,Yes,Stray,Former KK,32216,32216,981020041447938,07/15/2021,02:29 pm,Adoption,On Site Adoption,32216
07/14/2021,03:32 pm,JHS-A-78585,Sonny,Cat,Domestic Shorthair,,3,,Male,No,Yes,Stray,Former KK,32216,32216,981020041451070,07/17/2021,01:17 pm,Adoption,On Site Adoption,32216
