Unnamed: 0,name,review_count,category,Additional categories,price,city,Zip code,state,rating,delivery,pickup,Accepts resvervations
191,Hazel's Hot Dogs,101,american,Hot Dogs,$,St. Augustine,32084,FL,4.5,Yes,No,No
192,Sweetwater Coffee Bar and Gallery,63,cafe/breakfast,Coffee & Tea,$$,St. Augustine,32084,FL,4.5,No,No,No
193,Yummy Wok,38,asian/sushi,Chinese,$,St. Augustine,32084,FL,3.5,Yes,Yes,No
194,Sakada Japanese Steak House,135,asian/sushi,Japanese,$$,St. Augustine,32084,FL,3.5,Yes,Yes,No
195,Real Peel Pizza,3,italian,Pizza,,St. Augustine,32080,FL,4.5,No,No,No
196,Libby's Thai Bistro,85,asian/sushi,Thai,$$,St. Augustine,32084,FL,4.0,Yes,Yes,No
197,Namaste,110,unique_foregin,Indian,$$,St. Augustine,32086,FL,3.5,Yes,No,No
198,Anastasia Diner,86,american,American (Traditional),$$,St. Augustine,32080,FL,4.0,Yes,Yes,No
199,Island Beach Store & Grill,4,american,American (Traditional),,St. Augustine,32080,FL,5.0,No,No,No
200,White Lion Restaurant & Pub,189,american,American (Traditional),$$,St. Augustine,32084,FL,2.5,Yes,No,No
201,The Cuban Cafe And Bakery,142,unique_foregin,Cuban,$,St. Augustine,32084,FL,4.0,Yes,Yes,No
202,Wingin'it,14,convenience,Food Trucks,$,St. Augustine,32084,FL,4.5,Yes,No,No
203,Outback Steakhouse,79,cafe/breakfast,Steakhouses,$$,St. Augustine,32086,FL,3.0,Yes,Yes,No
204,Everything Bagel,155,cafe/breakfast,Bagels,$,St. Augustine,32086,FL,4.5,Yes,No,No
205,Yamato Japanese Steak House & Sushi Bar,116,asian/sushi,Japanese,$$,St. Augustine,32086,FL,3.5,Yes,Yes,No
206,The Cheese Wheel & Sandwich Board,32,cafe/breakfast,Breakfast & Brunch,$,St. Augustine,32084,FL,3.0,Yes,No,No
207,Carrabba's Italian Grill,118,italian,Italian,$$,St. Augustine,32086,FL,3.5,Yes,Yes,No
208,Mr Boba's Asian Cafe,3,asian/sushi,Asian Fusion,$,St. Augustine,32086,FL,4.5,No,No,No
209,Ichiban Buffet,124,american,Buffets,$$,St. Augustine,32086,FL,3.5,Yes,No,No
210,Amici Banquet Restaurant,184,italian,Italian,$$,St. Augustine,32080,FL,3.5,Yes,No,No
211,Chicken Salad Chick,26,american,Southern,,St. Augustine,32084,FL,4.0,Yes,Yes,No
212,German Street Food,4,convenience,Food Trucks,,St. Augustine,32086,FL,4.5,No,No,No
213,Creative Juices Natural Cafe,87,bars/cocktail,Juice Bars & Smoothies,$,St. Augustine,32080,FL,4.5,Yes,No,No
214,I Love Pierogi,2,unique_foregin,Polish,,St. Augustine,32084,FL,5.0,No,No,No
215,Antonio's Pizza at the Beach,107,italian,Pizza,$,St. Augustine,32080,FL,3.5,Yes,No,No
216,Old City Subs,18,cafe/breakfast,Sandwiches,$,St. Augustine,32084,FL,4.0,Yes,No,No
217,Chick-fil-A,3,american,Fast Food,$,St. Augustine,32084,FL,3.5,No,No,No
218,The Kookaburra,110,cafe/breakfast,Cafes,$,St. Augustine,32084,FL,4.5,Yes,No,No
219,Seafood Shoppe Wholesale,3,seafood,Seafood,,St. Augustine,32084,FL,2.5,No,No,No
220,Village Inn Restaurant,126,cafe/breakfast,Breakfast & Brunch,$$,St. Augustine,32084,FL,3.5,Yes,Yes,No
221,Kaiser's Deli & Market,1,cafe/breakfast,Sandwiches,,St. Augustine,32080,FL,5.0,No,No,No
222,Sonny's BBQ,88,american,Barbeque,$$,St. Augustine,32084,FL,3.0,Yes,No,No
223,China One,9,asian/sushi,Chinese,,St. Augustine,32086,FL,4.0,Yes,No,No
224,El Potro,107,mexican/tex-mex,Mexican,$$,St. Augustine,32084,FL,3.5,Yes,No,No
225,Dynamic Energy and Nutrition,3,bars/cocktail,Juice Bars & Smoothies,,St. Augustine,32080,FL,5.0,No,No,No
226,Corner-Sushi,124,asian/sushi,Sushi Bars,$$,St. Augustine,32086,FL,4.5,Yes,No,No
227,Fire Wok Chinese,38,asian/sushi,Chinese,$,St. Augustine,32084,FL,4.0,Yes,No,No
228,Moe's Southwest Grill,20,mexican/tex-mex,Tex-Mex,,St. Augustine,32084,FL,2.5,Yes,Yes,No
229,Chili's,75,american,American (Traditional),$$,St. Augustine,32086,FL,2.5,Yes,Yes,No
230,Le Cafe,8,cafe/breakfast,Breakfast & Brunch,$$,St. Augustine,32084,FL,3.5,No,No,No
231,Applebee's Grill + Bar,73,american,American (Traditional),$$,St. Augustine,32086,FL,2.0,Yes,Yes,No
232,Vince'S Sandwich Shop,7,cafe/breakfast,Delis,,St. Augustine,32086,FL,3.5,Yes,No,No
233,Peking South Restaurant,1,american,Restaurants,,St. Augustine,32086,FL,5.0,No,No,No
234,Haute Dawgs,5,american,Hot Dogs,,St. Augustine,32084,FL,5.0,Yes,No,No
235,The Kookabura Coffee,4,cafe/breakfast,Cafes,,St. Augustine,32086,FL,4.5,No,No,No
236,Jersey Mike's Subs,12,cafe/breakfast,Sandwiches,$,St. Augustine,32084,FL,3.5,Yes,No,No
237,De Leon Pizza,67,italian,Pizza,$,St. Augustine,32086,FL,4.0,Yes,No,No
238,Buffalo Wild Wings,76,american,Chicken Wings,$$,St. Augustine,32086,FL,2.0,Yes,Yes,No
239,County Road Provisions,13,convenience,Food Trucks,,St. Augustine,32086,FL,5.0,Yes,No,No
240,Bono's Pit Bar-B-Q,63,american,Barbeque,$$,St. Augustine,32086,FL,3.5,Yes,Yes,No
241,Steak ’n Shake,93,american,Burgers,$,St. Augustine,32084,FL,2.0,Yes,Yes,No
242,China Wok,16,asian/sushi,Chinese,,St. Augustine,32084,FL,3.0,No,Yes,No
243,Red Lobster,67,seafood,Seafood,$$,St. Augustine,32086,FL,3.0,Yes,Yes,No
244,Circle K,1,convenience,Convenience Stores,,St. Augustine,32080,FL,5.0,No,No,No
245,Yummy Wok,3,asian/sushi,Chinese,,St. Augustine,32084,FL,2.5,No,No,No
246,Lava Dome Pizza,1,italian,Pizza,,St. Augustine,32084,FL,5.0,No,No,No
247,Denny's,88,cafe/breakfast,Breakfast & Brunch,$$,St. Augustine,32084,FL,2.0,No,No,No
248,Jacks BBQ,49,american,Barbeque,$,St. Augustine,32080,FL,3.0,Yes,No,No
249,Aleko's Lemonade,1,convenience,Food Stands,$,St. Augustine,32084,FL,5.0,No,No,No
250,Chick-fil-A,90,american,Fast Food,$,St. Augustine,32084,FL,3.5,No,No,No
251,Zaxby's,44,american,Fast Food,$,St. Augustine,32084,FL,3.5,Yes,No,No
252,Panda Express,34,asian/sushi,Chinese,$,St. Augustine,32086,FL,3.0,Yes,Yes,No
253,Papa Johns Pizza,12,italian,Pizza,$,St. Augustine,32084,FL,1.5,Yes,Yes,No
254,Honey Baked Ham Company,11,cafe/breakfast,Sandwiches,,St. Augustine,32086,FL,4.0,Yes,Yes,No
255,Po boy Pauls,1,convenience,Food Trucks,,St. Augustine,32084,FL,1.0,No,No,No
256,Cone Heads Ice Cream,155,dessert/bakery,Ice Cream & Frozen Yogurt,$,St. Augustine,32080,FL,4.0,Yes,No,No
257,Taco Bell,30,american,Fast Food,$,St. Augustine,32084,FL,2.0,Yes,No,No
258,The Cuban Bakery,9,unique_foregin,Cuban,$$,St. Augustine,32084,FL,3.0,No,No,No
259,Mocup Coffee,25,dessert/bakery,Desserts,$,St. Augustine,32086,FL,4.0,Yes,Yes,No
260,McDonald's,49,american,Fast Food,$,St. Augustine,32084,FL,1.5,Yes,No,No
261,Auntie Anne's,1,dessert/bakery,Pretzels,,St. Augustine,32084,FL,1.0,No,No,No
262,Shubachi,7,convenience,Food Trucks,,St. Augustine,32092,FL,3.0,No,No,No
263,Jimmy John's,24,cafe/breakfast,Sandwiches,$,St. Augustine,32084,FL,2.5,No,No,No
264,Burger King,26,american,Burgers,$,St. Augustine,32084,FL,2.0,Yes,No,No
265,First Wok,4,american,Restaurants,,St. Augustine,32084,FL,2.0,Yes,No,No
266,Subway,12,cafe/breakfast,Sandwiches,$,St. Augustine,32084,FL,4.0,Yes,Yes,No
267,Woody's Barbecue,14,american,Barbeque,$$,St. Augustine,32084,FL,2.5,No,No,No
268,KFC,33,american,Fast Food,$,St. Augustine,32084,FL,1.5,Yes,Yes,No
269,Panera Bread,66,cafe/breakfast,Sandwiches,$,St. Augustine,32086,FL,2.5,Yes,Yes,No
270,Chipotle Mexican Grill,53,mexican/tex-mex,Mexican,$,St. Augustine,32084,FL,2.5,Yes,Yes,No
271,Wendy's,32,american,Burgers,$,St. Augustine,32084,FL,1.5,Yes,No,No
272,Circle K,1,convenience,Convenience Stores,,St. Augustine,32084,FL,1.0,No,No,No
273,Sonic Drive-In,35,dessert/bakery,Ice Cream & Frozen Yogurt,$,St. Augustine,32086,FL,1.5,No,No,No
274,Pizza Hut,9,italian,Pizza,$,St. Augustine,32086,FL,1.5,Yes,Yes,No
275,Domino's Pizza,12,italian,Pizza,$,St. Augustine,32084,FL,3.5,No,No,No
276,Tyga Bites,1,american,Comfort Food,,St. Augustine,32084,FL,1.0,No,No,No
277,Domino's Pizza,13,american,Chicken Wings,$,St. Augustine,32080,FL,3.0,No,No,No
278,Firehouse Subs,29,cafe/breakfast,Sandwiches,$,St. Augustine,32086,FL,2.5,Yes,No,No
279,Tropical Smoothie Cafe,23,cafe/breakfast,Sandwiches,$,St. Augustine,32080,FL,3.0,Yes,Yes,No
280,Subway,5,cafe/breakfast,Sandwiches,$,St. Augustine,32084,FL,3.5,Yes,Yes,No
281,McDonald's,44,american,Fast Food,$,St. Augustine,32084,FL,1.5,Yes,No,No
282,Arby's,20,cafe/breakfast,Sandwiches,$,St. Augustine,32086,FL,2.5,Yes,Yes,No
283,McDonald's,18,american,Fast Food,$,St. Augustine,32086,FL,1.0,Yes,No,No
284,Fran & Tams,1,american,American (New),,St. Augustine,32086,FL,2.0,No,No,No
286,Circle K,2,convenience,Convenience Stores,,St. Augustine,32084,FL,1.0,No,No,No
287,Subway,3,cafe/breakfast,Sandwiches,$,St. Augustine,32033,FL,1.5,No,No,No
288,Circle K,3,convenience,Convenience Stores,,St. Augustine,32080,FL,2.5,No,No,No
0,Oceanside Beach Bar and Grill,673,american,American (New),$$,Flagler Beach,32136,FL,4.5,No,No,No
1,Turtle Shack,352,seafood,Seafood,$$,Flagler Beach,32136,FL,4.5,No,No,No
2,JT's Seafood Shack,574,seafood,Seafood,$$,Palm Coast,32137,FL,4.0,Yes,No,No
3,The Brown Dog,182,american,Burgers,$$,Palm Coast,32164,FL,4.5,Yes,No,No
4,Portugal Wine Bar & Grill,248,unique_foregin,Portuguese,$$,Palm Coast,32137,FL,4.5,Yes,No,No
5,Green Lion Cafe,82,cafe/breakfast,Breakfast & Brunch,,Palm Coast,32137,FL,4.5,Yes,Yes,No
6,Break Awayz,219,bars/cocktail,Bars,$$,Flagler Beach,32136,FL,4.5,No,No,No
7,Captains BBQ,540,american,Barbeque,$$,Palm Coast,32137,FL,4.5,No,Yes,No
9,Millennium Bistro,27,unique_foregin,Brazilian,,Palm Coast,32137,FL,5.0,Yes,No,No
10,Metro Diner,466,cafe/breakfast,Breakfast & Brunch,$$,Palm Coast,32137,FL,4.0,Yes,Yes,No
11,Mamaling Asian Street Food,317,asian/sushi,Pan Asian,$$,Palm Coast,32137,FL,4.5,Yes,Yes,No
12,Flagler Fish Company,538,seafood,Seafood,$$,Flagler Beach,32136,FL,4.0,No,No,No
13,Adette's Bistro & Bakery,17,dessert/bakery,Bakeries,,Palm Coast,32164,FL,5.0,No,No,No
14,Red Koi -Palm Coast,35,asian/sushi,Sushi Bars,,Palm Coast,32137,FL,4.5,No,No,No
16,386,169,american,Salad,$$,Palm Coast,32137,FL,4.0,Yes,No,No
17,Cantina Louie,87,mexican/tex-mex,Mexican,$$,Palm Coast,32137,FL,4.0,Yes,No,No
18,Don Luigi's Gourmet Kitchen,62,italian,Italian,$$,Palm Coast,32164,FL,4.0,Yes,Yes,Yes
