Intake Date,Intake Time,Animal ID,Name,Species,Primary Breed,Secondary Breed,Age (Months),Size Group,Sex,Altered in Care,Altered before arrival,Intake Type,Intake Sub-Type,Intake From (Zip Code),Address Found (Zip Code),Microchip Number,Outcome Date,Outcome Time,Outcome Type,Outcome Sub-type,Zip Code
01/05/2019,09:28 pm,JHS-A-53054,Nate,Dog,Mixed Breed (Large),Mix,26,Medium (20-59),Male,No,Yes,Transfer In,Transfer,-,,981020025591904,01/25/2019,06:30 pm,Adoption,On Site Adoption,
01/05/2019,09:16 pm,JHS-A-54315,Guiness,Dog,Mixed Breed (Large),Mix,24,,Male,No,Yes,Stray,Drop Off,32225,32225,981020029469193,01/16/2019,05:25 pm,Adoption,On Site Adoption,32225
01/05/2019,09:13 pm,JHS-A-54314,Oz,Cat,Domestic Shorthair,Mix,24,,Female,No,Yes,Stray,Drop Off,32224,32224,981020029410883,01/13/2019,03:17 pm,Adoption,On Site Adoption,32224
01/05/2019,09:10 pm,JHS-A-54313,Cappy,Cat,Domestic Shorthair,Mix,11,,Female,No,Yes,Stray,Drop Off,,,981020029537555,02/01/2019,03:16 pm,Adoption,On Site Adoption,
01/05/2019,09:02 pm,JHS-A-54312,Stuart,Cat,Domestic Shorthair,Mix,59,,Male,No,Yes,Owner/Guardian Surrender,Walk-In Surrender,,,981020029446319,02/01/2019,05:31 pm,Return to Owner/Guardian,By Other (specify in memo),
01/05/2019,09:02 pm,JHS-A-54311,Leo,Cat,Domestic Shorthair,Mix,23,,Male,No,Yes,Owner/Guardian Surrender,Walk-In Surrender,,,981020029538702,02/01/2019,05:31 pm,Return to Owner/Guardian,By Other (specify in memo),
01/05/2019,08:13 pm,JHS-A-54310,Lily,Dog,Mixed Breed (Medium),Mix,24,,Female,No,Yes,Owner/Guardian Surrender,Walk-In Surrender,32065,,982000407713077,01/06/2019,03:17 pm,Adoption,On Site Adoption,32065
01/05/2019,08:09 pm,JHS-A-54309,Bronco,Dog,Mixed Breed (Large),Mix,23,,Male,No,Yes,Stray,Drop Off,32219,32219,981020029464486,01/13/2019,12:56 pm,Adoption,On Site Adoption,32219
01/05/2019,07:26 pm,JHS-A-54165,Scipio,Dog,Mixed Breed (Small),Mix,24,,Male,No,Yes,Return,Return,32216,,981020019646049,01/06/2019,12:55 pm,Adoption,On Site Adoption,32216
01/05/2019,06:22 pm,JHS-A-54308,Manny,Dog,Mixed Breed (Large),Mix,24,,Male,No,Yes,Stray,Drop Off,32221,32221,981020029456217,01/19/2019,05:09 pm,Adoption,On Site Adoption,32221
01/05/2019,06:09 pm,JHS-A-54307,Domino,Cat,Domestic Shorthair,Mix,7,,Male,No,Yes,Owner/Guardian Surrender,Walk-In Surrender,32256,,981020029419822,01/11/2019,01:39 pm,Adoption,On Site Adoption,32256
01/05/2019,04:51 pm,JHS-A-54306,Lovely,Dog,Mixed Breed (Large),Mix,8,Medium (20-59),Female,No,Yes,Transfer In,Transfer,-,,981020027468217,01/08/2019,12:54 pm,Return to Owner/Guardian,By Other (specify in memo),
01/05/2019,04:51 pm,JHS-A-54305,Broley,Dog,Mixed Breed (Large),Mix,48,Large (60-99),Male,No,Yes,Transfer In,Transfer,-,,835329340,03/11/2019,03:33 pm,Return to Owner/Guardian,Returned to Owner,
01/05/2019,04:51 pm,JHS-A-54304,Heiress,Dog,Mixed Breed (Large),Mix,24,Large (60-99),Female,No,Yes,Transfer In,Transfer,-,,981020027526956,03/11/2019,03:33 pm,Return to Owner/Guardian,Returned to Owner,
01/05/2019,04:26 pm,JHS-A-54303,Pickle,Cat,Domestic Shorthair,Mix,36,,Unknown,To be determined,No,Stray,Drop Off,32207,32207,,01/05/2019,03:26 pm,Euthanasia,Medical Issues,32207
01/05/2019,03:45 pm,JHS-A-54302,Saffron,Dog,Mixed Breed (Large),Mix,96,,Male,No,Yes,Stray,Drop Off,32225,32225,981020029396839,01/11/2019,04:26 pm,Return to Owner/Guardian,By Other (specify in memo),32225
01/05/2019,03:41 pm,JHS-A-54301,Gretta,Dog,Mixed Breed (Large),Mix,120,,Female,No,Yes,Stray,Drop Off,32208,32208,981020029447683,01/22/2019,06:30 pm,Adoption,On Site Adoption,32208
01/05/2019,02:52 pm,JHS-A-54300,Baby Bo,Dog,Mixed Breed (Large),Mix,36,,Male,No,Yes,Stray,Drop Off,31313,31313,981020025588015,01/24/2019,05:32 pm,Adoption,On Site Adoption,31313
01/05/2019,02:21 pm,JHS-A-54299,Princess,Cat,Domestic Shorthair,Mix,144,,Female,No,Yes,Owner/Guardian Surrender,Walk-In Surrender,32073,,981020029439824,01/12/2019,04:53 pm,Adoption,On Site Adoption,32073
01/05/2019,02:18 pm,JHS-A-54298,Tom,Cat,Domestic Shorthair,Mix,144,,Male,No,Yes,Owner/Guardian Surrender,By Appointment,32073,,981020029454431,01/24/2019,06:24 pm,Adoption,On Site Adoption,32073
01/05/2019,01:37 pm,JHS-A-54297,Romeo,Cat,Domestic Shorthair,Mix,12,,Male,No,Yes,Owner/Guardian Surrender,Walk-In Surrender,32256,,981020029412048,01/12/2019,04:25 pm,Adoption,PetSmart Town Center #297,32256
01/05/2019,01:32 pm,JHS-A-54296,Juliet,Cat,Domestic Shorthair,Mix,12,,Female,No,Yes,Owner/Guardian Surrender,Walk-In Surrender,32256,,981020029450450,01/12/2019,02:08 pm,Adoption,PetSmart Beaches,32256
01/05/2019,12:41 pm,JHS-A-54295,Dani,Dog,Mixed Breed (Large),Mix,71,Large (60-99),Female,No,Yes,Stray,Drop Off,32207,32207,981020025283475,02/02/2019,05:14 pm,Adoption,On Site Adoption,32207
01/06/2019,08:27 pm,JHS-A-54341,Emery,Cat,Domestic Shorthair,Mix,11,,Female,No,Yes,Stray,Drop Off,32205,32205,981020029402094,01/12/2019,11:21 am,Adoption,On Site Adoption,32205
01/06/2019,07:35 pm,JHS-A-54340,Vaporeon,Cat,Domestic Shorthair,Mix,,,Female,Yes,No,Stray,Drop Off,32216,32216,981020029524875,02/28/2019,11:22 am,Adoption,On Site Adoption,32216
01/06/2019,07:35 pm,JHS-A-54339,Espeon,Cat,Domestic Shorthair,Mix,,,Male,Yes,No,Stray,Drop Off,32216,32216,981020029528955,02/28/2019,11:22 am,Adoption,On Site Adoption,32216
01/06/2019,07:35 pm,JHS-A-54338,Flareon,Cat,Domestic Shorthair,Mix,,,Female,Yes,No,Stray,Drop Off,32216,32216,981020029462544,02/28/2019,11:22 am,Adoption,On Site Adoption,32216
01/06/2019,07:35 pm,JHS-A-54337,Jolteon,Cat,Domestic Shorthair,Mix,,,Male,Yes,No,Stray,Drop Off,32216,32216,981020029402975,02/28/2019,11:22 am,Adoption,On Site Adoption,32216
01/06/2019,07:35 pm,JHS-A-54336,Umbreon,Cat,Domestic Shorthair,Mix,,,Male,Yes,No,Stray,Drop Off,32216,32216,981020029483283,02/28/2019,11:22 am,Adoption,On Site Adoption,32216
01/06/2019,06:53 pm,JHS-A-54335,Ghost,Dog,Mixed Breed (Medium),Mix,24,,Male,No,Yes,Owner/Guardian Surrender,Walk-In Surrender,89149,,981020021271671,01/17/2019,05:47 pm,Adoption,On Site Adoption,89149
01/06/2019,06:50 pm,JHS-A-54334,Bella,Dog,Mixed Breed (Large),Mix,72,,Female,No,Yes,Owner/Guardian Surrender,By Appointment,32227,,875799029,02/08/2019,05:11 pm,Adoption,On Site Adoption,32227
01/06/2019,06:31 pm,JHS-A-54333,Boo,Cat,Domestic Shorthair,Mix,36,,Male,No,Yes,Owner/Guardian Surrender,Walk-In Surrender,32224,,981020011671426,01/19/2019,03:58 pm,Adoption,On Site Adoption,32224
01/06/2019,06:24 pm,JHS-A-54332,Aron,Cat,Domestic Shorthair,Mix,12,,Male,No,Yes,Owner/Guardian Surrender,Walk-In Surrender,32224,,981020025006800,01/09/2019,05:34 pm,Adoption,On Site Adoption,32224
01/06/2019,06:19 pm,JHS-A-54330,Leroy Jenkins,Dog,Mixed Breed (Large),Mix,23,,Male,No,Yes,Stray,Drop Off,32246,32246,981020029423131,01/16/2019,01:45 pm,Adoption,On Site Adoption,32246
01/06/2019,06:19 pm,JHS-A-54331,Kai,Cat,Domestic Shorthair,Mix,2,,Female,No,Yes,Stray,Drop Off,32256,32256,981020029456822,01/17/2019,01:12 pm,Adoption,On Site Adoption,32256
01/06/2019,04:42 pm,JHS-A-50348,Cutie,Cat,Domestic Shorthair,Mix,9,,Male,No,Yes,Owner/Guardian Surrender,Walk-In Surrender,32034,,981020025789817,01/14/2019,04:27 pm,Adoption,On Site Adoption,32034
01/06/2019,04:41 pm,JHS-A-48044,Autumn,Cat,Domestic Shorthair,Mix,10,,Female,No,Yes,Owner/Guardian Surrender,Walk-In Surrender,32034,,981020025826394,01/27/2019,03:40 pm,Adoption,On Site Adoption,32034
01/06/2019,04:18 pm,JHS-A-54329,Big Boi,Dog,Mixed Breed (Large),Mix,23,,Male,No,Yes,Stray,Drop Off,32244,32244,,01/08/2019,04:22 pm,Return to Owner/Guardian,By Other (specify in memo),32244
01/06/2019,03:41 pm,JHS-A-54328,Piper,Dog,Mixed Breed (Large),Mix,11,,Female,No,Yes,Stray,Drop Off,32221,32221,981020029427275,01/24/2019,05:28 pm,Adoption,On Site Adoption,32221
01/06/2019,03:31 pm,JHS-A-54181,Wilbur,Dog,Mixed Breed (Large),Mix,72,,Male,No,Yes,Return,Return,32223,,981020029413105,01/26/2019,01:02 pm,Adoption,On Site Adoption,32223
01/06/2019,03:07 pm,JHS-A-54327,Kim,Cat,Domestic Shorthair,Mix,96,,Female,No,Yes,Owner/Guardian Surrender,Walk-In Surrender,32211,,981020029457761,03/26/2019,03:15 pm,Adoption,On Site Adoption,32211
01/06/2019,02:57 pm,JHS-A-54205,Sultan,Dog,Mixed Breed (Large),Mix,24,,Male,No,Yes,Return,Return,32222,,981020027652529,01/21/2019,02:37 pm,Adoption,On Site Adoption,32222
01/06/2019,02:52 pm,JHS-A-54325,Pepper,Dog,Mixed Breed (Medium),Mix,59,,Female,No,Yes,Stray,Drop Off,32244,32244,981020013116392,01/19/2019,01:55 pm,Adoption,On Site Adoption,32244
01/06/2019,02:52 pm,JHS-A-54326,Damian,Dog,Mixed Breed (Small),Mix,47,,Male,No,Yes,Stray,Drop Off,32244,32244,981020021299568,01/22/2019,01:46 pm,Adoption,On Site Adoption,32244
01/06/2019,02:12 pm,JHS-A-54323,CJ,Cat,Domestic Shorthair,Mix,1,,Male,No,Yes,Stray,Drop Off,32256,32256,981020029433731,02/05/2019,07:36 pm,Adoption,On Site Adoption,32256
01/06/2019,02:12 pm,JHS-A-54324,AJ,Cat,Domestic Shorthair,Mix,1,,Male,No,Yes,Stray,Drop Off,32256,32256,981020029410746,02/06/2019,03:40 pm,Adoption,On Site Adoption,32256
01/06/2019,02:12 pm,JHS-A-54322,PJ,Cat,Domestic Shorthair,Mix,1,,Male,No,Yes,Stray,Drop Off,32256,32256,981020029412421,02/01/2019,06:08 pm,Adoption,On Site Adoption,32256
01/06/2019,02:12 pm,JHS-A-54321,TJ,Cat,Domestic Shorthair,Mix,1,,Male,No,Yes,Stray,Drop Off,32256,32256,981020029426920,02/01/2019,06:08 pm,Adoption,On Site Adoption,32256
01/06/2019,01:48 pm,JHS-A-54316,Michael,Cat,Domestic Shorthair,Mix,,,Male,No,Yes,Stray,Drop Off,32246,32246,981020029399387,02/11/2019,04:25 pm,Adoption,On Site Adoption,32246
01/06/2019,01:48 pm,JHS-A-54320,Phyllis,Cat,Domestic Shorthair,Mix,,,Female,No,Yes,Stray,Drop Off,32246,32246,981020029421001,02/11/2019,05:47 pm,Adoption,On Site Adoption,32246
01/06/2019,01:48 pm,JHS-A-54319,Creed,Cat,Domestic Shorthair,Mix,,,Male,No,Yes,Stray,Drop Off,32246,32246,981020029457152,02/11/2019,05:43 pm,Adoption,On Site Adoption,32246
01/06/2019,01:48 pm,JHS-A-54317,Dwight,Cat,Domestic Shorthair,Mix,,,Male,No,Yes,Stray,Drop Off,32246,32246,981020029538900,02/11/2019,05:16 pm,Adoption,On Site Adoption,32246
01/06/2019,01:48 pm,JHS-A-54318,Jim,Cat,Domestic Shorthair,Mix,,,Male,No,Yes,Stray,Drop Off,32246,32246,981020029401119,02/11/2019,05:33 pm,Adoption,On Site Adoption,32246
01/01/2019,07:57 pm,JHS-A-54262,Annabelle,Dog,Mixed Breed (Medium),Mix,4,,Female,No,Yes,Stray,Drop Off,80135,32205,981020029409805,01/04/2019,06:47 pm,Adoption,On Site Adoption,32205
01/01/2019,07:50 pm,JHS-A-54261,Sailor,Cat,Domestic Shorthair,Mix,3,,Male,No,Yes,Stray,Drop Off,32212,32212,981020029399626,01/22/2019,05:45 pm,Adoption,On Site Adoption,32212
01/01/2019,07:47 pm,JHS-A-54260,Blake PA,Dog,Mixed Breed (Large),Mix,14,Large (60-99),Male,No,Yes,Stray,Drop Off,32221,32221,981020029442480,01/13/2019,05:01 pm,Adoption,On Site Adoption,32221
01/01/2019,07:39 pm,JHS-A-54259,Bridget,Dog,Mixed Breed (Large),Mix,36,,Female,No,Yes,Stray,Drop Off,32205,32205,981020029540832,01/15/2019,05:51 pm,Adoption,On Site Adoption,32205
01/01/2019,07:35 pm,JHS-A-54258,Penny,Dog,Boxer,"Retriever, Labrador",35,,Female,No,Yes,Stray,Drop Off,32065,32065,981020015805701,01/14/2019,05:36 pm,Adoption,On Site Adoption,32065
