Unnamed: 0,name,review_count,category,Additional categories,price,city,Zip code,state,rating,delivery,pickup,Accepts resvervations
121,Orsay,985,unique_foregin,French,$$$,Jacksonville,32205,FL,4.5,Yes,No,No
122,Mama Lu's,67,unique_foregin,Filipino,$,Jacksonville,32225,FL,4.5,Yes,No,No
123,Toscana Little Italy,114,italian,Pizza,$$,Jacksonville,32207,FL,3.5,Yes,No,No
124,Casa Maria Tequila Bar & Grill,23,mexican/tex-mex,Mexican,,Jacksonville,32216,FL,4.5,No,No,No
125,Beignets Caribbean Cafe,51,unique_foregin,Caribbean,$,Jacksonville,32207,FL,4.0,Yes,No,No
126,Rod's Crab Shack,29,seafood,Seafood,,Jacksonville,32207,FL,4.5,Yes,Yes,No
127,The Mossfire Grill,309,bars/cocktail,"Beer, Wine & Spirits",$$,Jacksonville,32204,FL,4.0,Yes,No,No
128,Toon Town Pizzeria,2,italian,Pizza,,Jacksonville,32202,FL,5.0,Yes,Yes,No
129,Hot Pot Korean BBQ,346,asian/sushi,Korean,$$$,Jacksonville,32246,FL,4.0,No,No,No
130,Firebirds Wood Fired Grill,414,bars/cocktail,Wine Bars,$$,Jacksonville,32246,FL,4.0,Yes,Yes,No
131,Estrella Cocina,113,mexican/tex-mex,Mexican,$$,Jacksonville,32202,FL,3.0,Yes,No,No
132,Hoptinger Bier Garden & Sausage House,496,bars/cocktail,Gastropubs,$$,Jacksonville,32204,FL,3.5,Yes,Yes,No
133,Sushi & Sub,15,asian/sushi,Sushi Bars,$,Jacksonville,32207,FL,4.5,Yes,No,No
134,Southern Roots Filling Station,276,cafe/breakfast,Coffee & Tea,$$,Jacksonville,32204,FL,4.5,Yes,Yes,No
135,Jax Bread,187,dessert/bakery,Bakeries,$$,Jacksonville,32256,FL,4.5,Yes,No,No
136,Carmines Pie House,899,italian,Pizza,$$,Jacksonville,32204,FL,4.5,Yes,Yes,No
137,1748 Bakehouse,102,dessert/bakery,Bakeries,$,Jacksonville,32206,FL,4.5,No,Yes,No
138,Añejo Cocina Mexican,84,mexican/tex-mex,Mexican,$$,Jacksonville,32202,FL,4.0,No,No,No
139,Mambos Cuban Cafe Express,190,unique_foregin,Cuban,$$,Jacksonville,32246,FL,4.5,Yes,No,No
140,Morton's The Steakhouse,124,cafe/breakfast,Steakhouses,$$$,Jacksonville,32202,FL,3.5,Yes,Yes,No
141,Terra Gaucha Brazilian Steakhouse,805,unique_foregin,Brazilian,$$$,Jacksonville,32216,FL,4.5,No,No,No
142,Uptown Kitchen & Bar,406,cafe/breakfast,Breakfast & Brunch,$$,Jacksonville,32206,FL,3.5,Yes,Yes,No
143,Royal Palms Cafe and Catering,11,cafe/breakfast,Breakfast & Brunch,,Jacksonville,32207,FL,5.0,Yes,Yes,No
144,Village Bread Café,94,cafe/breakfast,Delis,$,Jacksonville,32207,FL,4.0,Yes,No,No
145,Taqueria CINco,210,cafe/breakfast,Breakfast & Brunch,$$,Jacksonville,32204,FL,4.5,Yes,No,No
146,Chart House,319,seafood,Seafood,$$$,Jacksonville,32207,FL,3.0,Yes,Yes,No
147,Tommy Bahama | Marlin Bar - Jacksonville,129,american,American (New),$$,Jacksonville,32246,FL,4.0,Yes,Yes,No
148,Taco Loco,10,mexican/tex-mex,Mexican,$$,Jacksonville,32217,FL,4.0,No,No,No
149,Taste Of Thai,135,asian/sushi,Thai,$$,Jacksonville,32216,FL,4.5,Yes,No,No
150,D & G Deli & Grill,115,cafe/breakfast,Sandwiches,$,Jacksonville,32202,FL,4.5,Yes,No,No
151,Sorrento Italian Restaurant,99,italian,Italian,$$,Jacksonville,32217,FL,4.0,Yes,Yes,No
152,The Butt Hutt Smokehouse,76,convenience,Food Trucks,$$,Jacksonville,32205,FL,5.0,Yes,Yes,No
153,Blue Boy Sandwich Shop,118,cafe/breakfast,Sandwiches,$$,Jacksonville,32208,FL,4.5,Yes,Yes,No
154,Fresh Mex & Company,189,mexican/tex-mex,Tacos,$$,Jacksonville,32256,FL,4.0,Yes,Yes,No
155,La Gran Parada,19,bars/cocktail,Juice Bars & Smoothies,$,Jacksonville,32207,FL,4.0,Yes,No,No
156,Jazzy's Restaurant and Lounge,142,bars/cocktail,Jazz & Blues,$$,Jacksonville,32204,FL,3.5,Yes,Yes,No
157,Mariscos El Pacifico,20,seafood,Seafood,,Jacksonville,32217,FL,4.0,No,No,No
158,Q Noodle Asian Cuisine,2,asian/sushi,Asian Fusion,,Jacksonville,32216,FL,4.5,Yes,Yes,No
159,Burger Barn Grill,16,american,Burgers,$$,Jacksonville,32256,FL,4.5,Yes,Yes,No
160,World of Beer Jacksonville Southpoint,51,bars/cocktail,"Beer, Wine & Spirits",$$,Jacksonville,32216,FL,3.5,Yes,Yes,No
161,Buchner’s Bierhalle,84,bars/cocktail,Beer Bar,$$,Jacksonville,32205,FL,4.5,Yes,No,No
162,Sandwich House,43,cafe/breakfast,Sandwiches,$,Jacksonville,32207,FL,4.0,Yes,Yes,No
163,L&L Hawaiian Grill,82,american,Barbeque,$$,Jacksonville,32256,FL,4.0,Yes,Yes,No
164,Eddis & Sons Cheesesteaks,144,cafe/breakfast,Cheesesteaks,$$,Jacksonville,32216,FL,4.5,Yes,No,No
165,Chiqui Burger,2,unique_foregin,Venezuelan,$$,Jacksonville,32246,FL,5.0,No,No,No
166,One Night Taco Stand,371,mexican/tex-mex,Tacos,$$,Jacksonville,32257,FL,4.0,Yes,No,No
167,The Happy Grilled Cheese,157,convenience,Food Trucks,$,Jacksonville,32202,FL,4.0,Yes,No,No
168,The Loop,122,italian,Pizza,$$,Jacksonville,32207,FL,3.5,Yes,Yes,No
169,Takeria Mix,29,unique_foregin,Latin American,$,Jacksonville,32217,FL,4.0,Yes,No,No
